,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
47,Atuona,0,PF,1578004110,74,-9.8,-139.03,81.03,12.73
48,Seidu,0,NG,1578004110,32,8.32,4.47,69.8,11.41
49,Cidreira,19,BR,1578004111,77,-30.17,-50.22,73.62,23.42
50,Avarua,92,CK,1578004111,74,-21.21,-159.78,80.6,8.05
51,Hermanus,26,ZA,1578004111,93,-34.42,19.24,64.0,8.52
52,Tooele,75,US,1578004082,60,40.53,-112.3,39.99,8.05
53,Geraldton,90,CA,1578004112,92,49.72,-86.95,30.2,3.36
54,Sorland,75,NO,1578004112,93,67.67,12.69,39.2,3.36
55,Airai,100,TL,1578004112,92,-8.93,125.41,68.2,1.43
56,Barrow,0,AR,1578004113,42,-38.31,-60.23,80.65,8.63
57,Bluff,24,AU,1578004113,78,-23.58,149.07,75.79,12.75
58,Sao Filipe,100,CV,1578004129,72,14.9,-24.5,70.86,19.01
59,Mahebourg,75,MU,1578004129,88,-20.41,57.7,78.8,5.28
60,Gravdal,100,NO,1578004130,93,59.79,5.78,46.99,29.97
61,Fukue,20,JP,1578004130,61,35.03,136.69,48.2,13.87
62,Kruisfontein,67,ZA,1578004130,84,-34.0,24.73,67.28,7.45
63,Ocotal,0,NI,1578004130,49,13.63,-86.48,78.98,7.94
64,Tura,96,RU,1578004131,94,64.27,100.22,-4.59,5.44
65,Hasaki,20,JP,1578004131,92,35.73,140.83,28.4,2.24
66,Flinders,96,AU,1578004131,78,-34.58,150.85,73.99,10.29
67,Tumaco,56,CO,1578004131,85,1.8,-78.82,78.71,19.62
68,Nikolskoye,90,RU,1578004132,80,59.7,30.79,41.0,8.95
69,Kapaa,90,US,1578004132,88,22.08,-159.32,80.6,16.11
70,Bredasdorp,0,ZA,1578004132,82,-34.53,20.04,62.6,3.36
71,Ilulissat,75,GL,1578004132,66,69.22,-51.1,12.2,14.99
72,Cherskiy,28,RU,1578004133,72,68.75,161.3,-1.7,12.66
73,Bambanglipuro,37,ID,1578004133,87,-7.95,110.28,74.41,4.52
74,Erzin,75,TR,1578004133,93,36.95,36.2,51.01,10.29
75,Ribeira Grande,40,PT,1578004133,72,38.52,-28.7,59.0,12.75
76,Fort Nelson,20,CA,1578004133,78,58.81,-122.69,8.6,2.24
77,Chake Chake,62,TZ,1578004134,80,-5.25,39.77,82.67,17.94
78,Hilo,75,US,1578004134,54,19.71,-155.08,82.4,5.82
79,Abu Samrah,96,SY,1578004134,88,35.3,37.18,48.33,10.04
80,Ladario,98,PT,1578004135,93,40.7,-7.74,52.0,3.31
81,La Palma,100,CO,1578004135,70,5.36,-74.39,80.64,3.91
82,Guiratinga,100,BR,1578004135,72,-16.35,-53.76,82.56,5.53
83,Manono,100,CD,1578004135,95,-7.3,27.4,70.39,1.54
84,Torbay,75,CA,1578004136,86,47.66,-52.73,32.0,12.75
85,Byron Bay,75,AU,1578004136,65,-28.65,153.62,80.6,11.41
86,Ruiru,75,KE,1578004136,88,-1.16,36.96,64.4,6.93
87,Hays,1,US,1578004136,70,38.88,-99.33,44.6,16.11
88,Hambantota,20,LK,1578004137,100,6.12,81.12,75.2,3.36
89,Lebu,51,ET,1578004137,84,8.96,38.73,56.1,0.63
90,Port Blair,26,IN,1578004137,77,11.67,92.75,81.03,12.88
91,Tasiilaq,0,GL,1578004138,33,65.61,-37.64,14.0,17.22
92,Vaini,0,IN,1578004138,89,15.34,74.49,63.93,1.97
93,Camacupa,100,AO,1578004138,92,-12.02,17.48,65.19,1.1
94,Sarangani,100,PH,1578004138,86,5.4,125.46,75.99,8.41
95,Surt,0,LY,1578004139,70,31.21,16.59,54.19,11.01
96,Pevek,100,RU,1578004139,64,69.7,170.27,1.85,12.88
97,Port Alfred,94,ZA,1578004139,92,-33.59,26.89,68.0,14.25
98,Boyolangu,84,ID,1578004139,88,-8.09,111.9,73.98,1.72
99,Troitskoye,67,RU,1578004140,89,52.98,84.68,18.3,5.32
100,Albany,75,US,1578004140,52,42.65,-73.75,43.0,11.41
101,Lorengau,22,PG,1578004140,71,-2.02,147.27,84.36,5.46
102,Puerto Ayora,75,EC,1578004141,61,-0.74,-90.35,82.4,16.11
103,Matara,100,BI,1578004141,91,-3.48,29.48,59.34,3.51
104,Gizo,90,IL,1578004141,71,31.8,34.94,55.4,8.05
105,Alofi,40,NU,1578004141,61,-19.06,-169.92,82.4,9.17
106,Baley,1,RU,1578004142,95,51.58,116.65,-12.21,3.85
107,Mao,75,DO,1578004142,69,19.55,-71.08,82.4,11.41
108,Teruel,48,ES,1578004142,64,40.34,-1.11,46.4,5.82
109,Touros,75,BR,1578004142,78,-5.2,-35.46,80.6,11.41
110,Fairbanks,75,US,1578003998,69,64.84,-147.72,-4.0,3.8
111,Kingaroy,40,AU,1578004143,60,-26.54,151.84,75.2,6.93
112,Shingu,5,JP,1578004144,75,33.72,135.99,49.05,14.07
113,Toktogul,100,KG,1578004144,37,41.87,72.95,17.82,5.7
114,Namatanai,0,PG,1578004144,77,-3.66,152.44,82.15,3.85
115,Jamestown,64,AU,1578004144,16,-33.21,138.6,75.25,17.78
116,Laguna,40,BZ,1578004144,70,16.17,-88.94,86.0,4.7
117,Asyut,0,EG,1578004145,57,27.18,31.19,48.2,9.17
118,Brigantine,1,US,1578004145,65,39.41,-74.36,48.0,4.7
119,Gondar,90,PT,1578004145,87,41.82,-8.78,55.99,8.05
120,Cochabamba,75,BO,1578004055,59,-17.39,-66.16,66.2,6.51
121,Paihia,19,NZ,1578004146,63,-35.28,174.09,75.99,5.01
122,Coquimbo,59,CL,1578004146,68,-29.95,-71.34,64.4,13.87
123,Talnakh,40,RU,1578004146,77,69.49,88.39,-0.4,20.13
124,Yabelo,4,ET,1578004147,66,4.89,38.09,67.82,18.57
125,Gboko,0,NG,1578004147,15,7.32,9.0,72.88,11.34
126,Kantang,100,TH,1578004147,89,7.42,99.52,73.56,2.46
127,Chokurdakh,0,RU,1578004148,93,70.62,147.9,-24.9,3.49
128,Shelton,1,US,1578004148,70,41.32,-73.09,46.4,8.05
129,Leshukonskoye,100,RU,1578004148,95,64.9,45.76,29.3,10.56
130,Waipawa,57,NZ,1578004148,24,-39.94,176.59,73.6,8.52
131,Dakar,100,SN,1578004149,69,14.69,-17.45,73.4,11.41
132,Unai,100,BR,1578004149,89,-16.36,-46.91,74.17,5.14
133,Ponta do Sol,91,BR,1578004149,87,-20.63,-46.0,72.01,8.63
134,Chuy,42,UY,1578004149,69,-33.69,-53.46,72.46,13.15
135,Ancud,0,CL,1578004150,57,-41.87,-73.83,75.2,8.05
136,Mwinilunga,95,ZM,1578004150,96,-11.73,24.43,63.54,2.73
137,Port Lincoln,72,AU,1578004150,25,-34.72,135.86,77.32,15.55
138,Tarata,100,PE,1578004151,56,-17.47,-70.03,73.4,9.17
139,Atar,100,MR,1578004151,14,20.52,-13.05,59.52,12.21
140,Dauphin,90,CA,1578004151,85,51.15,-100.04,24.8,16.11
141,East London,93,ZA,1578004151,85,-33.02,27.91,73.54,14.18
142,Balkanabat,99,TM,1578004152,87,39.51,54.36,42.91,8.05
143,Jumla,100,NP,1578004152,91,29.28,82.18,26.51,1.05
144,Pop,90,UZ,1578004152,92,40.87,71.1,30.2,4.7
145,Richards Bay,79,ZA,1578004152,86,-28.77,32.06,79.12,11.48
146,Angoram,85,PG,1578004153,97,-4.06,144.07,75.96,1.3
147,Pangai,20,TO,1578004153,57,-19.8,-174.35,80.6,8.05
148,Ziro,96,IN,1578004153,78,27.54,93.82,48.47,3.6
149,Pouembout,83,NC,1578004154,71,-21.12,164.9,72.99,3.76
150,Burnie,16,AU,1578004154,74,-41.05,145.91,55.89,5.73
151,Azare,0,NG,1578003885,22,11.67,10.19,55.85,10.09
152,San Quintin,0,PH,1578004154,82,17.54,120.52,65.98,6.26
153,Terrace,90,CA,1578004155,86,54.52,-128.61,30.99,13.87
154,Bambous Virieux,75,MU,1578004155,88,-20.34,57.76,78.8,9.93
155,Esperance,90,AU,1578004155,93,-33.86,121.89,59.0,16.11
156,Malmyzh,66,RU,1578004155,95,56.52,50.68,11.7,10.16
157,Sohag,0,EG,1578004156,61,26.55,31.7,48.2,6.93
158,North Bend,90,US,1578004157,76,43.41,-124.22,54.0,5.82
159,Oyama,20,JP,1578004157,86,36.31,139.8,39.0,1.12
160,Gillette,90,US,1578004157,59,44.29,-105.5,37.99,11.41
161,Bethel,1,US,1578004157,75,60.79,-161.76,-11.2,9.17
162,Sur,63,OM,1578004158,61,22.57,59.53,69.15,8.05
163,Fort Saint James,100,CA,1578004158,86,54.43,-124.25,20.77,1.45
164,Ahipara,100,NZ,1578004158,87,-35.17,173.16,66.42,12.59
165,Norman Wells,90,CA,1578004159,76,65.28,-126.83,-4.0,14.99
166,Vao,4,EE,1578004159,88,59.1,26.19,36.91,12.62
167,Bilma,0,NE,1578004159,29,18.69,12.92,50.63,13.0
168,Brae,100,GB,1578004159,60,60.4,-1.35,44.6,27.51
169,Necochea,0,AR,1578004159,1,-38.55,-58.74,78.01,14.0
170,Zhigansk,0,RU,1578004160,93,66.77,123.37,-34.01,9.33
171,Gladstone,40,AU,1578004160,58,-23.84,151.26,82.99,14.99
172,Longyearbyen,0,NO,1578004160,64,78.22,15.63,1.4,13.87
173,Nantucket,1,US,1578004012,75,41.28,-70.1,44.6,18.34
174,Axim,0,GH,1578004161,74,4.87,-2.24,79.27,3.85
175,San Juan,0,AR,1578004064,25,-31.54,-68.53,94.19,6.35
176,Leningradskiy,0,RU,1578004161,81,69.38,178.42,-11.34,13.96
177,Chicama,75,PE,1578004135,78,-7.84,-79.15,71.6,11.41
178,Bethanien,0,NA,1578004162,28,-26.5,17.16,73.56,4.34
179,Lander,1,US,1578004162,43,42.83,-108.73,36.0,3.36
180,Kaeo,1,NZ,1578004162,63,-35.1,173.78,75.99,5.01
181,Voh,97,NC,1578004163,70,-20.95,164.69,76.15,6.35
182,Mantua,0,IT,1578004163,100,45.16,10.79,39.0,3.36
183,Halifax,90,CA,1578004057,69,44.65,-63.58,35.01,13.87
184,Tezu,97,IN,1578004163,86,27.93,96.16,57.11,1.68
185,Praia,75,BR,1578004163,78,-20.25,-43.81,71.6,5.82
186,Talakan,62,RU,1578004164,98,50.29,130.28,-16.96,5.32
187,Iquique,11,CL,1578004078,64,-20.22,-70.14,73.4,17.22
188,Hendek,75,TR,1578004164,100,40.8,30.75,35.6,4.7
189,Dogondoutchi,0,NE,1578004165,17,13.64,4.03,61.79,15.64
190,Calahorra,90,ES,1578004165,71,42.3,-1.96,32.0,2.24
191,Ambilobe,84,MG,1578004165,89,-13.19,49.05,76.73,1.57
192,Presque Isle,20,US,1578003904,79,46.68,-68.02,28.4,5.61
193,Charters Towers,100,AU,1578004166,81,-20.07,146.27,75.92,8.68
194,Wanning,0,AT,1578004166,92,48.64,13.53,30.99,3.36
195,Pokhara,34,NP,1578004166,67,28.21,83.99,48.34,3.22
196,Cabo San Lucas,5,MX,1578004127,49,22.89,-109.91,75.99,14.99
197,Nouakchott,100,MR,1578004166,14,18.08,-15.98,62.6,9.17
198,Kavieng,23,PG,1578004167,74,-2.57,150.8,82.94,4.76
199,Kahului,40,US,1578003929,65,20.89,-156.47,80.6,11.41
200,Georgetown,20,GY,1578003925,74,6.8,-58.16,80.6,4.7
201,Ambulu,100,ID,1578004168,78,-8.35,113.61,80.71,3.58
202,Moron,40,HT,1578004168,78,18.56,-74.26,79.57,4.97
203,Copacabana,1,BO,1578004168,78,-16.17,-69.08,49.3,16.6
204,Mar del Plata,0,AR,1578004168,19,-46.43,-67.52,90.41,20.71
205,Los Llanos de Aridane,100,ES,1578004169,55,28.66,-17.92,62.6,9.17
206,Bafoulabe,97,ML,1578004169,10,13.81,-10.83,75.0,10.87
207,San Ramon de la Nueva Oran,19,AR,1578004169,61,-23.13,-64.33,87.01,4.94
208,Amazar,58,RU,1578004169,91,53.86,120.88,-12.87,2.28
209,Umm Lajj,0,SA,1578004170,59,25.02,37.27,59.5,2.35
210,Cisaat,82,ID,1578004170,81,-6.22,106.01,79.83,7.7
211,Victoria,75,BN,1578004170,88,5.28,115.24,80.01,2.24
212,Rantoul,40,US,1578004170,81,40.31,-88.16,50.0,6.93
213,Port Macquarie,75,AU,1578004170,73,-31.43,152.91,80.01,5.82
214,Krasnokamensk,0,RU,1578004171,87,50.1,118.04,-8.25,4.38
215,Novoukrainskiy,75,RU,1578004171,87,44.89,38.05,32.0,3.98
216,Puerto Escondido,5,MX,1578004171,70,15.86,-97.07,84.2,11.41
217,Iqaluit,90,CA,1578004171,85,63.75,-68.52,10.4,4.7
218,Clyde River,90,CA,1578004172,76,70.47,-68.59,-7.6,12.75
219,Tshela,100,CD,1578004172,98,-4.99,12.94,74.08,2.86
220,Katsuura,75,JP,1578004172,81,33.93,134.5,44.6,5.82
221,Velyka Oleksandrivka,100,UA,1578004172,86,47.32,33.3,29.21,7.18
222,Saint-Louis,100,SN,1578004173,28,16.03,-16.5,71.6,4.7
223,Paraiso,40,BR,1578004173,100,-0.03,-51.17,80.6,5.82
224,Nizhnyaya Tavda,96,RU,1578004173,95,57.67,66.17,9.28,6.58
225,Chapais,90,CA,1578004173,85,49.78,-74.86,21.2,6.93
226,Grand Forks,90,US,1578004174,79,47.91,-97.06,24.8,6.93
227,Saba,88,HN,1578004174,44,15.52,-86.23,80.08,4.76
228,Ishigaki,75,JP,1578004174,77,24.34,124.16,64.4,4.7
229,Ibra,51,OM,1578004174,56,22.69,58.55,66.15,4.05
230,Khatanga,100,RU,1578004174,98,71.98,102.47,-6.54,1.97
231,San Cristobal,28,HN,1578004175,34,14.68,-86.92,81.72,6.29
232,Otane,57,NZ,1578004175,24,-39.89,176.62,73.6,8.52
233,Saint-Francois,40,FR,1578004175,81,46.42,3.91,32.0,2.24
234,Fortuna,1,US,1578004175,76,40.6,-124.16,57.99,3.96
235,Soyo,100,AO,1578004176,84,-6.13,12.37,80.04,4.25
236,Veraval,90,FR,1578004176,100,49.65,0.71,50.0,16.11
237,Bilibino,49,RU,1578004176,74,68.06,166.44,-12.96,3.13
238,Tuatapere,1,NZ,1578004177,64,-46.13,167.69,55.0,17.0
239,Petropavlovsk-Kamchatskiy,100,RU,1578004177,78,53.05,158.65,8.6,2.24
240,Samarai,100,PG,1578004177,85,-10.62,150.67,77.07,2.1
241,Tamiahua,68,MX,1578004178,90,21.28,-97.45,72.57,10.11
242,Sitka,100,US,1578004178,60,37.17,-99.65,48.0,11.01
243,Lodwar,31,KE,1578004178,39,3.12,35.6,86.32,13.15
244,Beinamar,100,TD,1578004178,20,8.67,15.38,63.81,4.72
245,Narasannapeta,97,IN,1578004179,81,18.42,84.04,68.94,3.58
246,Vitim,100,RU,1578004179,94,59.44,112.57,11.05,7.63
247,Mundo Nuevo,20,CL,1578004179,77,-32.72,-71.41,64.4,11.41
248,Talcahuano,6,CL,1578004179,72,-36.72,-73.12,64.4,9.17
249,Nakamura,20,JP,1578004179,61,35.17,136.87,48.2,13.87
250,Castro,57,CL,1578004180,57,-42.48,-73.76,75.2,8.05
251,Margate,75,AU,1578004180,67,-43.03,147.26,66.0,6.93
252,Cockburn Town,40,TC,1578004180,65,21.46,-71.14,78.8,9.17
253,Baykit,53,RU,1578004181,98,61.68,96.39,2.93,2.35
254,Sao Joao da Barra,75,BR,1578004181,88,-21.64,-41.05,75.2,9.17
255,Wadena,93,CA,1578004181,96,51.95,-103.8,13.89,6.6
256,Boa Vista,75,BR,1578003928,40,2.82,-60.67,87.8,8.05
257,Kerema,93,PG,1578004181,91,-7.96,145.78,76.78,2.28
258,The Valley,40,AI,1578004018,69,18.22,-63.06,80.6,6.93
259,Kostomuksha,100,RU,1578004182,90,64.59,30.6,34.38,14.56
260,Kovernino,97,RU,1578004182,97,57.13,43.81,33.15,7.78
261,Tessalit,6,ML,1578004182,26,20.2,1.01,53.28,13.33
262,Riyadh,1,SA,1578004183,55,24.63,46.72,62.6,5.82
263,Ereymentau,86,KZ,1578004183,91,51.62,73.1,26.13,19.69
264,Namtsy,95,RU,1578004183,67,62.72,129.66,-27.4,1.28
265,Labuhan,100,ID,1578004183,94,-2.54,115.51,72.57,1.3
266,Kaitangata,78,NZ,1578004184,55,-46.28,169.85,57.0,14.0
267,Honiara,20,SB,1578004184,70,-9.43,159.96,87.8,2.24
268,Maple Creek,100,CA,1578004184,87,49.91,-109.46,26.19,20.38
269,Tasgaon,0,IN,1578004184,76,17.04,74.6,65.43,6.96
270,Nerchinskiy Zavod,0,RU,1578004185,92,51.31,119.61,-16.89,4.27
271,Santa Vitoria do Palmar,42,BR,1578004185,69,-33.52,-53.37,72.46,13.15
272,Visnes,100,NO,1578004186,93,59.36,5.22,46.4,29.97
273,Kloulklubed,90,PW,1578004186,74,7.04,134.26,80.6,11.41
274,Avera,90,US,1578004186,93,33.19,-82.53,53.6,6.93
275,Zyryanovsk,0,KZ,1578004187,74,49.74,84.27,8.17,1.74
276,Beringovskiy,0,RU,1578004187,82,63.05,179.32,-11.65,15.03
277,Valdosta,1,US,1578004006,53,30.83,-83.28,75.2,10.29
278,Chapada dos Guimaraes,40,BR,1578004187,62,-15.46,-55.75,86.0,3.36
279,Kuching,75,MY,1578004188,94,1.56,110.34,77.0,3.36
280,Henties Bay,5,NA,1578004188,90,-22.12,14.28,62.01,1.99
281,Grand Gaube,75,MU,1578004188,88,-20.01,57.66,78.8,10.07
282,Ust-Koksa,0,RU,1578004188,75,50.27,85.62,10.8,6.53
283,Ovalle,0,CL,1578004188,29,-30.6,-71.2,77.47,9.84
284,Zaysan,0,KZ,1578004189,84,47.47,84.87,3.51,1.14
285,Grindavik,75,IS,1578004144,100,63.84,-22.43,26.6,23.04
286,Saint George,20,GR,1578004189,74,39.45,22.34,37.99,3.36
287,Baoding,0,CN,1578004189,37,38.86,115.49,24.48,1.97
288,Tingi,100,TZ,1578004190,83,-11.3,35.03,71.08,5.12
289,Jiazi,56,CN,1578004190,100,19.61,110.49,64.4,2.24
290,Kudahuvadhoo,94,MV,1578004190,76,2.67,72.89,82.36,9.6
291,Hazorasp,75,UZ,1578004191,92,41.32,61.08,28.4,4.7
292,Karratha,100,AU,1578003897,63,-20.74,116.85,84.47,4.03
293,Haines Junction,91,CA,1578004191,99,60.75,-137.51,-1.62,6.98
294,Salalah,13,OM,1578004192,64,17.01,54.1,73.4,4.7
295,Half Moon Bay,1,US,1578004192,76,37.46,-122.43,64.0,17.22
296,Birobidzhan,0,RU,1578004192,86,48.79,132.93,-7.53,6.02
297,Kayerkan,40,RU,1578004192,77,69.35,87.76,-0.4,20.13
298,Amapa,40,HN,1578004193,58,15.09,-87.97,87.8,13.87
299,Kalmunai,11,LK,1578004193,77,7.42,81.82,82.09,11.48
300,Shimoda,0,JP,1578004193,75,34.7,138.93,41.0,30.18
301,Riviere-au-Renard,5,CA,1578004193,79,49.0,-64.4,23.0,11.41
302,Skjervoy,20,NO,1578004194,56,70.03,20.97,42.8,19.46
303,Tupik,43,RU,1578004194,92,54.43,119.94,-16.44,3.2
304,Morros,20,BR,1578004194,83,-2.87,-44.04,80.6,6.93
305,Barentu,0,ER,1578004195,46,15.11,37.59,72.52,7.0
306,Colac,58,AU,1578004195,81,-38.34,143.59,66.99,1.99
307,Poum,40,MK,1578004195,51,41.28,20.71,32.0,5.82
308,Masterton,9,NZ,1578004195,82,-40.95,175.66,66.0,4.18
309,Nanortalik,98,GL,1578004196,33,60.14,-45.24,29.43,5.73
310,Ponta Delgada,20,PT,1578004196,66,37.73,-25.67,55.4,8.05
311,Vilyuysk,100,RU,1578004196,93,63.75,121.63,-15.77,4.5
312,Eureka,75,US,1578004197,76,40.8,-124.16,55.99,3.36
313,Pisco,20,PE,1578004197,30,-13.71,-76.2,73.0,18.34
314,Rawson,55,AR,1578004198,45,-43.3,-65.11,76.78,28.12
315,Caibarien,40,CU,1578004198,69,22.52,-79.47,82.4,12.75
316,Azanja,0,RS,1578004198,87,44.43,20.88,32.0,4.7
317,Debre Sina,33,ET,1578004198,58,9.85,39.76,70.14,2.68
318,Ostrovnoy,100,RU,1578004199,93,68.05,39.51,25.32,16.84
319,Horta,40,BR,1578004199,69,-10.93,-37.66,82.4,11.41
320,Ceres,100,BR,1578004199,87,-15.31,-49.6,77.59,5.1
321,Tongliao,0,CN,1578004200,77,43.61,122.27,9.39,7.9
322,Acushnet,1,US,1578004200,60,41.68,-70.91,44.6,11.41
323,Keuruu,75,FI,1578004200,86,62.26,24.71,39.99,12.75
324,Ust-Kuyga,45,RU,1578004201,91,70.0,135.55,-31.05,8.21
325,Camabatela,100,AO,1578004201,97,-8.19,15.37,65.25,3.47
326,Pitsunda,40,GE,1578004201,86,43.16,40.34,33.8,4.47
327,Constitucion,20,MX,1578004202,28,23.99,-104.67,57.2,21.92
328,Vila Franca do Campo,20,PT,1578004202,66,37.72,-25.43,55.4,8.05
329,Aksu,58,KZ,1578004203,79,52.04,76.93,23.0,8.95
330,Marsh Harbour,9,BS,1578004097,66,26.54,-77.06,74.86,10.09
331,Bandarbeyla,87,SO,1578004203,77,9.49,50.81,77.83,16.44
332,Casablanca,20,MA,1578004203,93,33.6,-7.62,57.0,2.24
333,Gbarnga,59,LR,1578004203,42,7.0,-9.47,67.21,2.01
334,Noumea,87,NC,1578003944,51,-22.28,166.46,81.0,3.36
335,Champasak,84,LA,1578004204,75,14.89,105.88,67.59,1.16
336,Oranjestad,40,AW,1578004204,69,12.52,-70.03,82.4,16.11
337,Micheweni,83,TZ,1578004204,82,-4.97,39.83,82.36,16.67
338,Black River,20,JM,1578004205,78,18.03,-77.85,82.99,13.87
339,Young,0,UY,1578004205,60,-32.7,-57.63,80.01,1.01
340,Casas Grandes,0,MX,1578004205,53,30.15,-110.24,50.16,16.04
341,Lethem,79,GY,1578004205,45,3.38,-59.8,83.68,13.6
342,Plon,30,AT,1578004206,73,46.92,12.49,30.0,4.05
343,Turayf,11,SA,1578004206,70,31.68,38.65,42.8,3.38
344,Pochutla,20,MX,1578004206,62,15.74,-96.47,87.01,11.41
345,Colares,75,PT,1578004206,93,38.8,-9.45,55.0,4.7
346,Clara,92,IE,1578004204,95,53.34,-7.61,48.99,8.01
347,Gisborne,11,NZ,1578004207,30,-38.66,178.02,82.99,10.0
348,Rochelle,1,US,1578004000,93,41.92,-89.07,46.99,6.93
349,Beloha,46,MG,1578004208,86,-25.17,45.06,73.22,11.07
350,Pilar,20,AR,1578004208,64,-34.46,-58.91,80.01,14.99
351,Ajdabiya,17,LY,1578004208,73,30.75,20.22,51.1,8.72
352,Guozhen,100,CN,1578004209,84,29.3,113.14,43.52,7.18
353,Chimbote,58,PE,1578004209,75,-9.08,-78.59,71.82,7.52
354,Havre-Saint-Pierre,20,CA,1578004209,73,50.23,-63.6,24.8,18.34
355,Taltal,19,CL,1578004209,88,-25.41,-70.49,59.92,3.49
356,Abha,0,SA,1578004210,46,18.22,42.5,57.2,4.7
357,Rio Grande,40,BR,1578004109,61,-32.03,-52.1,78.8,18.34
358,Bandar-e Lengeh,40,IR,1578004210,77,26.56,54.88,66.2,6.02
359,Gazanjyk,86,TM,1578004211,72,39.24,55.52,40.66,6.26
360,Moranbah,28,AU,1578004211,46,-22.0,148.04,87.22,14.34
361,Agadir,96,MA,1578004211,100,30.42,-9.58,53.6,6.93
362,Zhanaozen,100,KZ,1578004211,88,43.35,52.85,33.17,9.73
363,Teguise,100,ES,1578004212,47,29.06,-13.56,59.0,10.29
364,Santa Fe,42,AR,1578004212,44,-31.62,-60.7,84.99,3.0
365,Joshimath,100,IN,1578004212,60,30.57,79.57,24.53,8.12
366,Morgan City,90,US,1578004087,100,29.7,-91.21,78.8,23.04
367,Hamilton,75,CA,1578004056,82,43.26,-79.87,46.0,13.87
368,Hyeres,90,FR,1578004213,93,43.12,6.14,53.01,2.24
369,Agadez,1,NE,1578004213,24,16.97,7.99,57.2,14.99
370,Kulu,100,CD,1578004213,53,3.47,23.69,70.84,0.89
371,Sulangan,99,PH,1578004214,80,11.14,123.72,81.05,22.17
372,Nampula,75,MZ,1578004214,88,-15.12,39.26,73.4,4.7
373,Lavrentiya,23,RU,1578004214,91,65.58,-170.99,-13.31,13.0
